City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
146,East London,-33.02,27.91,few clouds,65.53,79,13,6.87,ZA,2020-05-09 22:26:00,0,0
147,Magaria,13.0,8.91,few clouds,89.31,31,23,7.27,NE,2020-05-09 22:26:00,0,0
148,Kyshtym,55.71,60.55,overcast clouds,57.74,56,99,3.71,RU,2020-05-09 22:26:00,0,0
149,Faya,18.39,42.45,clear sky,68.0,68,0,1.32,SA,2020-05-09 22:24:56,0,0
150,Bayburt,40.26,40.23,light rain,39.4,89,100,4.52,TR,2020-05-09 22:26:22,0,0
151,Bara,10.37,10.73,broken clouds,84.79,54,72,6.58,NG,2020-05-09 22:26:22,0,0
152,Cabedelo,-6.98,-34.83,few clouds,77.0,83,20,5.82,BR,2020-05-09 22:26:22,0,0
153,Cidreira,-30.18,-50.21,clear sky,63.99,80,0,8.41,BR,2020-05-09 22:22:40,0,0
154,Kilindoni,-7.91,39.67,moderate rain,79.97,79,93,16.35,TZ,2020-05-09 22:26:22,0,0
155,Tuatapere,-46.13,167.68,overcast clouds,56.19,78,90,7.2,NZ,2020-05-09 22:26:22,0,0
156,Tolbazy,54.02,55.88,scattered clouds,59.0,71,40,2.24,RU,2020-05-09 22:26:22,0,0
157,Poya,-21.35,165.15,clear sky,74.12,67,9,2.42,NC,2020-05-09 22:26:23,0,0
158,Champerico,14.3,-91.92,scattered clouds,91.4,59,40,13.87,GT,2020-05-09 22:26:23,0,0
159,Ishigaki,24.34,124.16,few clouds,78.8,100,20,4.7,JP,2020-05-09 22:26:23,0,0
160,Yar-Sale,66.83,70.83,overcast clouds,34.25,89,95,9.01,RU,2020-05-09 22:26:23,0,0
161,Korla,41.76,86.15,scattered clouds,66.33,25,35,10.85,CN,2020-05-09 22:26:23,0,0
162,Bontang,0.13,117.5,light rain,79.48,83,100,3.0,ID,2020-05-09 22:26:23,0,0
163,Sola,-13.88,167.55,broken clouds,82.4,78,75,16.53,VU,2020-05-09 22:26:23,0,0
164,Calafell,41.2,1.57,overcast clouds,64.0,92,100,4.0,ES,2020-05-09 22:26:23,0,0
165,Changji,44.02,87.32,broken clouds,64.4,15,74,11.18,CN,2020-05-09 22:26:23,0,0
